264,BATTERY
265,THEFT
266,NARCOTICS
267,OTHER OFFENSE
268,BURGLARY
269,MOTOR VEHICLE THEFT
270,PUBLIC PEACE VIOLATION
271,CRIMINAL DAMAGE
272,BATTERY
273,BATTERY
274,CRIMINAL TRESPASS
275,NARCOTICS
276,CRIMINAL DAMAGE
277,BATTERY
278,ROBBERY
279,OTHER OFFENSE
280,BURGLARY
281,BURGLARY
282,MOTOR VEHICLE THEFT
283,BATTERY
284,THEFT
285,ASSAULT
286,BATTERY
287,THEFT
288,PROSTITUTION
289,ASSAULT
290,BATTERY
291,ASSAULT
292,BATTERY
293,OTHER OFFENSE
294,THEFT
295,BATTERY
296,ROBBERY
297,OTHER OFFENSE
298,ROBBERY
299,NARCOTICS
300,BATTERY
301,BATTERY
302,CRIMINAL TRESPASS
303,BATTERY
304,BATTERY
305,PUBLIC PEACE VIOLATION
306,CRIMINAL DAMAGE
307,BATTERY
308,CRIMINAL DAMAGE
309,GAMBLING
310,BATTERY
311,MOTOR VEHICLE THEFT
312,BATTERY
313,DECEPTIVE PRACTICE
314,BATTERY
315,BATTERY
316,WEAPONS VIOLATION
317,NARCOTICS
318,OTHER OFFENSE
319,DECEPTIVE PRACTICE
320,NARCOTICS
321,NARCOTICS
322,NARCOTICS
323,ASSAULT
324,WEAPONS VIOLATION
325,ASSAULT
326,INTERFERENCE WITH PUBLIC OFFICER
327,NARCOTICS
328,THEFT
329,OFFENSE INVOLVING CHILDREN
330,THEFT
331,MOTOR VEHICLE THEFT
332,WEAPONS VIOLATION
333,OTHER OFFENSE
334,BATTERY
335,BATTERY
336,THEFT
337,CRIMINAL DAMAGE
338,THEFT
339,BURGLARY
340,CRIMINAL DAMAGE
341,PUBLIC PEACE VIOLATION
342,BURGLARY
343,THEFT
344,THEFT
345,THEFT
346,MOTOR VEHICLE THEFT
347,CRIMINAL DAMAGE
348,NARCOTICS
349,OTHER OFFENSE
350,ROBBERY
351,CRIMINAL DAMAGE
352,ASSAULT
353,BATTERY
354,BATTERY
355,BATTERY
356,CRIMINAL DAMAGE
357,BATTERY
358,CRIMINAL DAMAGE
359,ASSAULT
360,BATTERY
361,CRIMINAL DAMAGE
362,OTHER OFFENSE
363,ASSAULT
364,OTHER OFFENSE
365,CRIMINAL DAMAGE
366,WEAPONS VIOLATION
367,INTERFERENCE WITH PUBLIC OFFICER
368,BATTERY
369,BATTERY
370,BATTERY
371,NARCOTICS
372,THEFT
373,ASSAULT
374,CRIMINAL DAMAGE
375,NARCOTICS
376,NARCOTICS
377,OTHER OFFENSE
378,NARCOTICS
379,CRIMINAL TRESPASS
380,NARCOTICS
381,NARCOTICS
382,CRIMINAL TRESPASS
383,DECEPTIVE PRACTICE
384,ASSAULT
385,NARCOTICS
386,BATTERY
387,BATTERY
388,OTHER OFFENSE
389,BATTERY
390,BATTERY
391,BATTERY
392,DECEPTIVE PRACTICE
393,THEFT
394,BATTERY
395,BATTERY
396,THEFT
397,ASSAULT
398,WEAPONS VIOLATION
399,CRIMINAL DAMAGE
400,ROBBERY
401,BURGLARY
402,ASSAULT
403,BATTERY
404,BATTERY
405,CRIMINAL DAMAGE
406,BATTERY
407,BURGLARY
408,NARCOTICS
409,BATTERY
410,SEX OFFENSE
411,CRIMINAL TRESPASS
412,CRIMINAL DAMAGE
413,CRIMINAL DAMAGE
414,BATTERY
415,THEFT
416,CRIMINAL TRESPASS
417,MOTOR VEHICLE THEFT
418,BATTERY
419,THEFT
420,MOTOR VEHICLE THEFT
421,MOTOR VEHICLE THEFT
422,THEFT
423,NARCOTICS
424,ROBBERY
425,BATTERY
426,BATTERY
427,BATTERY
428,ASSAULT
429,CRIMINAL DAMAGE
430,BATTERY
431,CRIM SEXUAL ASSAULT
432,PUBLIC PEACE VIOLATION
433,THEFT
434,ASSAULT
435,CRIMINAL DAMAGE
436,CRIMINAL DAMAGE
437,CRIMINAL DAMAGE
438,THEFT
439,BATTERY
440,BATTERY
441,THEFT
442,THEFT
443,BATTERY
444,OTHER OFFENSE
445,DECEPTIVE PRACTICE
446,THEFT
447,THEFT
448,CRIMINAL TRESPASS
449,ROBBERY
450,INTERFERENCE WITH PUBLIC OFFICER
451,BATTERY
452,BATTERY
453,THEFT
454,ROBBERY
455,ASSAULT
456,ASSAULT
457,BATTERY
458,CRIM SEXUAL ASSAULT
459,CRIMINAL DAMAGE
460,ASSAULT
461,MOTOR VEHICLE THEFT
462,MOTOR VEHICLE THEFT
463,BATTERY
464,BATTERY
465,CRIMINAL DAMAGE
466,BURGLARY
467,DECEPTIVE PRACTICE
468,CRIM SEXUAL ASSAULT
469,BATTERY
470,ASSAULT
471,ROBBERY
472,BURGLARY
473,NARCOTICS
474,BATTERY
475,THEFT
476,NARCOTICS
477,BATTERY
478,ROBBERY
479,CRIM SEXUAL ASSAULT
480,BATTERY
481,ROBBERY
482,BATTERY
483,OFFENSE INVOLVING CHILDREN
484,ASSAULT
485,CRIMINAL DAMAGE
486,LIQUOR LAW VIOLATION
487,BATTERY
488,ASSAULT
489,ROBBERY
490,THEFT
491,BATTERY
492,BATTERY
493,CRIMINAL DAMAGE
494,ASSAULT
495,MOTOR VEHICLE THEFT
496,THEFT
497,DECEPTIVE PRACTICE
498,CRIMINAL DAMAGE
499,DECEPTIVE PRACTICE
500,CRIMINAL DAMAGE
501,CRIMINAL SEXUAL ASSAULT
502,BATTERY
503,THEFT
504,OTHER OFFENSE
505,BATTERY
506,BATTERY
507,THEFT
508,CRIMINAL DAMAGE
509,BATTERY
510,THEFT
511,BATTERY
512,CRIM SEXUAL ASSAULT
513,NARCOTICS
514,MOTOR VEHICLE THEFT
515,THEFT
516,BATTERY
517,OFFENSE INVOLVING CHILDREN
518,BURGLARY
519,CRIMINAL DAMAGE
520,CRIMINAL DAMAGE
521,CRIMINAL TRESPASS
522,WEAPONS VIOLATION
523,BATTERY
524,THEFT
525,BATTERY
526,BURGLARY
527,CRIMINAL DAMAGE
528,ASSAULT
529,BATTERY
530,MOTOR VEHICLE THEFT
531,THEFT
532,BURGLARY
533,CRIMINAL DAMAGE
534,CRIMINAL DAMAGE
535,CRIMINAL DAMAGE
536,DECEPTIVE PRACTICE
537,CRIMINAL DAMAGE
538,BATTERY
539,CRIMINAL DAMAGE
540,BATTERY
541,BATTERY
542,BATTERY
543,OTHER OFFENSE
544,THEFT
545,CRIMINAL DAMAGE
546,CRIMINAL TRESPASS
547,ASSAULT
548,THEFT
549,THEFT
550,CRIMINAL DAMAGE
551,BURGLARY
552,DECEPTIVE PRACTICE
553,CRIMINAL DAMAGE
554,BATTERY
555,ASSAULT
556,BURGLARY
557,ROBBERY
558,THEFT
559,THEFT
560,THEFT
561,CRIMINAL DAMAGE
562,THEFT
563,BATTERY
564,BATTERY
565,OFFENSE INVOLVING CHILDREN
566,THEFT
567,NARCOTICS
568,BATTERY
569,CRIMINAL DAMAGE
